ins_sede_nombre,No,Sí,total
Amazonía,0.7685341519570222,0.23146584804297773,6515
Bogotá,0.9030611178618452,0.09693888213815485,334943
Caribe,0.5443313953488372,0.45566860465116277,1376
De La Paz,0.5589046911483762,0.44109530885162385,4711
Manizales,0.5618589337723185,0.4381410662276814,15794
Medellín,0.6809294417682062,0.3190705582317937,56464
Orinoquía,0.774232830004871,0.22576716999512908,12318
Palmira,0.4933975240715268,0.5066024759284732,7270
Tumaco,0.8281668580176043,0.17183314198239572,13065
